timestamp,PM2.5,humidity,temperature
2022-03-02 00:00:00,0.0,75.0,
2022-03-02 01:00:00,0.0,75.0,
2022-03-02 02:00:00,0.1,75.0,
2022-03-02 03:00:00,0.1,75.0,
2022-03-02 04:00:00,0.2,75.0,
2022-03-02 05:00:00,0.1,75.0,
2022-03-02 06:00:00,0.2,75.0,
2022-03-02 07:00:00,0.3,75.0,
2022-03-02 08:00:00,0.3,75.0,
2022-03-02 09:00:00,0.3,75.0,
2022-03-02 10:00:00,1.5,75.0,
2022-03-02 11:00:00,1.4,75.0,
2022-03-02 12:00:00,1.9,75.0,
2022-03-02 13:00:00,1.4,75.0,
2022-03-02 14:00:00,1.7,75.0,
2022-03-02 15:00:00,1.3,75.0,
2022-03-02 16:00:00,1.4,75.0,
2022-03-02 17:00:00,0.8,75.0,
2022-03-02 18:00:00,0.6,75.0,
2022-03-02 19:00:00,0.3,75.0,
2022-03-02 20:00:00,0.5,75.0,
2022-03-02 21:00:00,0.5,75.0,
2022-03-02 22:00:00,1.7,75.0,
2022-03-02 23:00:00,1.5,75.0,
2022-03-03 00:00:00,1.0,75.0,
2022-03-03 01:00:00,1.1,75.0,
2022-03-03 02:00:00,0.8,75.0,
2022-03-03 03:00:00,0.6,75.0,
2022-03-03 04:00:00,0.6,75.0,
2022-03-03 05:00:00,1.0,75.0,
2022-03-03 06:00:00,1.4,75.0,
2022-03-03 07:00:00,0.9,75.0,
2022-03-03 08:00:00,0.6,75.0,
2022-03-03 09:00:00,1.0,75.0,
2022-03-03 10:00:00,1.5,75.0,
2022-03-03 11:00:00,1.5,75.0,
2022-03-03 12:00:00,1.4,75.0,
2022-03-03 13:00:00,0.8,75.0,
2022-03-03 14:00:00,0.5,75.0,
2022-03-03 15:00:00,0.7,75.0,
2022-03-03 16:00:00,0.5,75.0,
2022-03-03 17:00:00,0.8,75.0,
2022-03-03 18:00:00,0.9,75.0,
2022-03-03 19:00:00,0.7,75.0,
2022-03-03 20:00:00,0.4,75.0,
2022-03-03 21:00:00,0.5,75.0,
2022-03-03 22:00:00,1.2,75.0,
2022-03-03 23:00:00,1.3,75.0,
2022-03-04 00:00:00,1.3,75.0,
2022-03-04 01:00:00,0.7,75.0,
2022-03-04 02:00:00,0.4,75.0,
2022-03-04 03:00:00,0.7,75.0,
2022-03-04 04:00:00,0.3,75.0,
2022-03-04 05:00:00,0.3,75.0,
2022-03-04 06:00:00,0.4,75.0,
2022-03-04 07:00:00,0.6,75.0,
2022-03-04 08:00:00,0.9,75.0,
2022-03-04 09:00:00,0.7,75.0,
2022-03-04 10:00:00,0.7,75.0,
2022-03-04 11:00:00,0.3,75.0,
2022-03-04 12:00:00,1.0,75.0,
2022-03-04 13:00:00,0.8,75.0,
2022-03-04 14:00:00,0.6,75.0,
