Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,2021-09-12 04:00:00,58.79,80.6,29.6
1,2021-09-12 05:00:00,76.67,78.6,30.0
2,2021-09-12 06:00:00,58.26,78.5,30.0
3,2021-09-12 07:00:00,36.19,75.6,30.2
4,2021-09-12 08:00:00,41.05,74.0,30.6
5,2021-09-12 09:00:00,78.15,72.2,31.4
6,2021-09-12 10:00:00,70.62,67.2,32.5
7,2021-09-12 11:00:00,60.37,62.5,33.8
8,2021-09-12 12:00:00,54.15,58.5,35.4
9,2021-09-12 13:00:00,40.96,53.6,36.6
10,2021-09-12 14:00:00,34.9,50.2,37.4
11,2021-09-12 15:00:00,46.9,46.9,38.0
12,2021-09-12 16:00:00,45.3,45.3,38.5
13,2021-09-12 17:00:00,44.7,44.7,38.2
14,2021-09-12 18:00:00,49.5,49.5,36.7
15,2021-09-12 19:00:00,44.59,56.1,35.3
16,2021-09-12 20:00:00,65.54,67.1,33.8
17,2021-09-12 21:00:00,73.77,66.7,33.6
18,2021-09-12 22:00:00,94.8,71.5,32.8
19,2021-09-12 23:00:00,97.41,75.9,31.9
20,2021-09-13 00:00:00,104.91,79.7,31.2
21,2021-09-13 01:00:00,81.8,80.5,31.0
22,2021-09-13 02:00:00,80.75,80.6,30.9
23,2021-09-13 03:00:00,76.83,80.9,30.8
24,2021-09-13 04:00:00,76.69,81.9,30.7
25,2021-09-13 05:00:00,77.76,82.4,30.6
26,2021-09-13 06:00:00,76.17,80.4,31.2
27,2021-09-13 07:00:00,80.44,79.1,31.4
28,2021-09-13 08:00:00,93.8,75.8,31.7
29,2021-09-13 09:00:00,73.78,71.6,32.4
30,2021-09-13 10:00:00,75.06,70.4,32.8
31,2021-09-13 11:00:00,83.14,68.4,33.5
32,2021-09-13 12:00:00,92.44,69.2,33.5
33,2021-09-13 13:00:00,62.0,68.8,33.9
34,2021-09-13 14:00:00,55.75,66.2,33.6
35,2021-09-13 15:00:00,42.94,68.8,31.7
36,2021-09-13 16:00:00,33.9,69.3,31.0
37,2021-09-13 17:00:00,40.0,71.3,30.5
38,2021-09-13 18:00:00,45.87,72.4,30.6
39,2021-09-13 19:00:00,38.0,72.6,30.5
40,2021-09-13 20:00:00,16.9,75.4,29.8
41,2021-09-13 21:00:00,15.9,75.6,29.5
42,2021-09-13 22:00:00,11.7,72.8,29.9
43,2021-09-13 23:00:00,11.7,71.4,29.9
44,2021-09-14 00:00:00,14.1,73.9,29.2
45,2021-09-14 01:00:00,14.4,74.5,29.5
46,2021-09-14 02:00:00,14.5,74.8,29.2
47,2021-09-14 03:00:00,18.1,76.7,28.9
48,2021-09-14 04:00:00,34.28,77.4,29.1
49,2021-09-14 05:00:00,36.63,78.9,28.9
50,2021-09-14 06:00:00,41.9,78.8,29.0
51,2021-09-14 07:00:00,43.24,80.8,28.9
52,2021-09-14 08:00:00,39.14,79.5,29.3
53,2021-09-14 09:00:00,19.6,78.5,29.6
54,2021-09-14 10:00:00,13.6,80.7,29.2
55,2021-09-14 11:00:00,12.1,80.0,29.1
56,2021-09-14 12:00:00,13.2,79.6,29.5
57,2021-09-14 13:00:00,13.7,81.8,28.9
58,2021-09-14 14:00:00,12.7,78.7,29.7
59,2021-09-14 15:00:00,12.6,77.7,29.8
60,2021-09-14 16:00:00,18.8,78.4,29.8
61,2021-09-14 17:00:00,38.37,78.9,29.7
62,2021-09-14 18:00:00,18.1,78.2,29.8
63,2021-09-14 19:00:00,12.8,78.8,29.6
64,2021-09-14 20:00:00,8.8,78.2,29.3
65,2021-09-14 21:00:00,9.2,77.4,29.0
66,2021-09-14 22:00:00,7.0,75.9,29.1
67,2021-09-14 23:00:00,6.2,75.8,29.1
68,2021-09-15 00:00:00,7.1,79.6,28.2
69,2021-09-15 01:00:00,7.7,79.9,28.5
70,2021-09-15 02:00:00,8.9,80.0,28.5
71,2021-09-15 03:00:00,15.2,83.8,27.9
72,2021-09-15 04:00:00,18.3,83.5,28.1
73,2021-09-15 05:00:00,14.0,82.7,28.2
74,2021-09-15 06:00:00,10.9,83.0,28.2
75,2021-09-15 07:00:00,9.8,86.3,27.2
76,2021-09-15 08:00:00,5.9,84.6,27.7
77,2021-09-15 09:00:00,1.6,81.1,28.4
78,2021-09-15 10:00:00,1.1,80.7,28.5
79,2021-09-15 11:00:00,1.4,80.5,28.6
80,2021-09-15 12:00:00,2.3,79.9,28.8
81,2021-09-15 13:00:00,3.6,78.1,29.2
82,2021-09-15 14:00:00,3.5,78.3,28.8
83,2021-09-15 15:00:00,6.6,79.2,28.9
84,2021-09-15 16:00:00,6.9,77.0,29.5
85,2021-09-15 17:00:00,6.8,75.1,30.1
86,2021-09-15 18:00:00,7.7,75.7,29.9
87,2021-09-15 19:00:00,11.7,79.2,29.5
88,2021-09-15 20:00:00,14.3,80.8,29.3
89,2021-09-15 21:00:00,15.7,81.7,28.9
90,2021-09-15 22:00:00,16.8,82.2,28.8
91,2021-09-15 23:00:00,16.1,82.0,28.6
92,2021-09-16 00:00:00,13.4,82.2,28.4
93,2021-09-16 01:00:00,12.5,85.5,27.4
94,2021-09-16 02:00:00,15.1,87.7,27.0
95,2021-09-16 03:00:00,16.6,87.1,27.3
96,2021-09-16 04:00:00,16.9,86.8,27.4
97,2021-09-16 05:00:00,14.0,87.4,27.0
98,2021-09-16 06:00:00,,88.9,25.2
99,2021-09-16 07:00:00,1.8,88.8,25.4
100,2021-09-16 08:00:00,2.6,86.1,26.7
101,2021-09-16 09:00:00,3.5,81.1,28.1
102,2021-09-16 10:00:00,5.1,79.6,28.5
103,2021-09-16 11:00:00,5.7,76.8,29.4
104,2021-09-16 12:00:00,9.4,77.4,29.7
105,2021-09-16 13:00:00,9.6,77.8,30.1
106,2021-09-16 14:00:00,9.5,74.4,30.9
107,2021-09-16 15:00:00,5.5,72.3,31.4
108,2021-09-16 16:00:00,4.3,72.1,31.4
109,2021-09-16 17:00:00,2.5,76.4,30.6
110,2021-09-16 18:00:00,5.1,83.6,29.0
111,2021-09-16 19:00:00,4.9,85.6,28.9
112,2021-09-16 20:00:00,3.5,85.6,28.8
113,2021-09-16 21:00:00,9.8,86.6,28.6
114,2021-09-16 22:00:00,10.7,87.4,28.3
115,2021-09-16 23:00:00,6.9,87.6,28.1
116,2021-09-17 00:00:00,6.4,89.7,27.6
117,2021-09-17 01:00:00,7.0,90.2,27.5
118,2021-09-17 02:00:00,6.3,90.8,27.4
119,2021-09-17 03:00:00,5.3,89.7,27.2
120,2021-09-17 04:00:00,5.3,88.8,26.9
121,2021-09-17 05:00:00,7.3,90.1,26.8
122,2021-09-17 06:00:00,4.2,89.2,26.7
123,2021-09-17 07:00:00,5.5,90.0,26.7
124,2021-09-17 08:00:00,9.8,89.4,27.3
125,2021-09-17 09:00:00,10.0,88.5,27.8
126,2021-09-17 10:00:00,10.5,86.5,28.0
127,2021-09-17 11:00:00,6.5,83.3,28.5
128,2021-09-17 12:00:00,8.8,81.0,29.6
129,2021-09-17 13:00:00,6.8,77.1,30.6
