timestamp,PM2.5,humidity,temperature
2022-04-20 12:00:00,0.0,75.0,
2022-04-20 13:00:00,0.0,75.0,
2022-04-20 14:00:00,0.0,75.0,
2022-04-20 15:00:00,0.0,75.0,
2022-04-20 16:00:00,0.0,75.0,
2022-04-20 17:00:00,0.0,75.0,
2022-04-20 18:00:00,0.0,75.0,
2022-04-20 19:00:00,0.0,75.0,
2022-04-20 20:00:00,0.0,75.0,
2022-04-20 21:00:00,0.0,75.0,
2022-04-20 22:00:00,0.0,75.0,
2022-04-20 23:00:00,0.0,75.0,
2022-04-21 00:00:00,0.0,75.0,
2022-04-21 01:00:00,0.0,75.0,
2022-04-21 02:00:00,0.0,75.0,
2022-04-21 03:00:00,0.0,75.0,
2022-04-21 04:00:00,0.0,75.0,
2022-04-21 05:00:00,0.0,75.0,
2022-04-21 06:00:00,0.0,75.0,
2022-04-21 07:00:00,0.0,75.0,
2022-04-21 08:00:00,0.0,75.0,
2022-04-21 09:00:00,0.0,75.0,
2022-04-21 10:00:00,0.0,75.0,
2022-04-21 11:00:00,0.0,75.0,
2022-04-21 12:00:00,0.0,75.0,
2022-04-21 13:00:00,0.0,75.0,
2022-04-21 14:00:00,0.0,75.0,
2022-04-21 15:00:00,0.0,75.0,
2022-04-21 16:00:00,0.0,75.0,
2022-04-21 17:00:00,0.0,75.0,
2022-04-21 18:00:00,0.0,75.0,
2022-04-21 19:00:00,0.0,75.0,
2022-04-21 20:00:00,0.0,75.0,
2022-04-21 21:00:00,0.0,75.0,
2022-04-21 22:00:00,0.0,75.0,
2022-04-21 23:00:00,0.0,75.0,
2022-04-22 00:00:00,0.0,75.0,
2022-04-22 01:00:00,0.0,75.0,
2022-04-22 02:00:00,0.0,75.0,
2022-04-22 03:00:00,0.0,75.0,
2022-04-22 04:00:00,0.0,75.0,
2022-04-22 05:00:00,0.0,75.0,
2022-04-22 06:00:00,0.0,75.0,
2022-04-22 07:00:00,0.0,75.0,
2022-04-22 08:00:00,0.0,75.0,
